run,map,method,development_map,episode,result,enemy_elimination,enemy_kills,JEV_input,JEV_output,game_seconds,wall_seconds
smac-hard/jev_runs/all-maps-20260921-001/3rp_vs_24zl/jev,3rp_vs_24zl,jev_only,False,2,loss,0.0,0,157923,6386,5.357,8.187
smac-hard/jev_runs/all-maps-20260921-001/3rp_vs_24zl/jev,3rp_vs_24zl,jev_only,False,3,loss,0.0,0,174327,7559,5.357,7.797
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3rp_vs_24zl/jev,3rp_vs_24zl,jev_gpt6,False,1,loss,0.041666666666666664,1,167981,7044,5.714,52.641
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3rp_vs_24zl/jev,3rp_vs_24zl,jev_gpt6,False,2,loss,0.08333333333333333,2,168508,7401,5.714,7.562
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3rp_vs_24zl/jev,3rp_vs_24zl,jev_gpt6,False,3,loss,0.041666666666666664,1,169327,7023,5.714,7.657
smac-hard/jev_runs/all-maps-20260921-001/7q_vs_2bc/jev,7q_vs_2bc,jev_only,False,1,loss,0.0,0,391056,15391,23.571,44.375
smac-hard/jev_runs/all-maps-20260921-001/7q_vs_2bc/jev,7q_vs_2bc,jev_only,False,2,loss,0.0,0,371336,14898,21.786,29.328
smac-hard/jev_runs/all-maps-20260921-001/7q_vs_2bc/jev,7q_vs_2bc,jev_only,False,3,loss,0.0,0,371875,15093,21.786,29.14
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/7q_vs_2bc/jev,7q_vs_2bc,jev_gpt6,False,1,loss,0.0,0,558142,15104,22.143,81.172
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/7q_vs_2bc/jev,7q_vs_2bc,jev_gpt6,False,2,loss,0.0,0,542868,14718,21.429,27.937
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/7q_vs_2bc/jev,7q_vs_2bc,jev_gpt6,False,3,loss,0.0,0,541542,14613,21.429,27.703
smac-hard/jev_runs/all-maps-20260921-001/3st_vs_5zl/jev,3st_vs_5zl,jev_only,False,1,loss,0.2,1,165420,6368,13.214,30.703
smac-hard/jev_runs/all-maps-20260921-001/3st_vs_5zl/jev,3st_vs_5zl,jev_only,False,2,loss,0.0,0,166229,6253,12.857,16.984
