run,method,level,seed,game_seconds,workers,army_supply,supply_used,bases,minerals
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,645.1785714285714,52,52,107,1,30
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,650.1785714285714,53,52,108,1,30
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,655.1785714285714,53,52,108,1,50
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,660.1785714285714,54,52,109,1,50
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,665.1785714285714,54,52,109,1,95
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,670.1785714285714,54,52,109,1,50
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,675.1785714285714,56,52,109,1,95
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,680.1785714285714,55,52,109,1,45
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,685.1785714285714,55,52,109,1,95
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,690.1785714285714,56,54,112,1,45
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,695.1785714285714,55,54,112,1,90
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,700.1785714285714,55,54,112,1,35
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,705.1785714285714,56,54,113,1,35
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,710.1785714285714,56,55,114,1,35
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,715.1785714285714,57,55,115,1,30
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,720.1785714285714,57,55,115,1,70
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,725.1785714285714,58,56,117,1,30
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,730.1785714285714,58,56,117,1,70
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,735.1785714285714,59,56,117,1,100
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,740.1785714285714,59,58,120,1,20
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,745.1785714285714,59,58,120,1,50
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,750.1785714285714,60,57,120,1,20
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,755.1785714285714,60,58,121,1,20
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,760.1785714285714,60,58,121,1,45
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,765.1785714285714,61,58,122,1,20
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,770.1785714285714,61,58,122,1,45
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,775.1785714285714,62,58,123,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,780.1785714285714,63,58,123,1,45
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,785.1785714285714,63,58,124,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,790.1785714285714,63,58,124,1,45
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,795.1785714285714,64,58,124,1,65
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,800.1785714285714,64,58,125,1,45
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,805.1785714285714,64,58,125,1,40
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,810.1785714285714,65,58,125,1,65
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,815.1785714285714,65,58,125,1,90
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,820.1785714285714,65,58,125,1,10
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,825.1785714285714,65,58,125,1,30
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,830.1785714285714,65,58,125,1,40
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,835.1785714285714,65,58,125,1,55
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,840.1785714285714,66,56,124,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,845.1785714285714,65,52,120,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,850.1785714285714,66,50,118,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,855.1785714285714,67,48,116,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,860.1785714285714,66,48,116,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,865.1785714285714,67,48,116,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,870.1785714285714,67,48,116,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,875.1785714285714,67,48,116,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,880.1785714285714,67,48,116,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,885.1785714285714,67,47,115,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,890.1785714285714,67,47,115,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,895.1785714285714,67,47,115,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,900.1785714285714,67,47,115,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,905.1785714285714,67,47,115,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,910.1785714285714,68,47,115,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,915.1785714285714,68,47,115,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,920.1785714285714,68,47,115,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,925.1785714285714,68,46,114,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,930.1785714285714,68,46,114,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,935.1785714285714,68,46,114,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,940.1785714285714,68,46,114,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,945.1785714285714,68,46,114,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,950.1785714285714,68,46,114,1,15
